hsa-mir-155,hsa-mir-491,hsa-mir-196b,hsa-mir-10a,hsa-mir-21,hsa-mir-148a,hsa-mir-1266,hsa-mir-200c,hsa-mir-128,hsa-mir-146b,hsa-mir-1296,hsa-mir-15b,hsa-mir-28,hsa-mir-105,hsa-mir-653,hsa-mir-452,hsa-mir-767,hsa-mir-141,hsa-mir-34a,hsa-mir-193a,hsa-mir-139,hsa-mir-374a,hsa-mir-23a,hsa-mir-504,hsa-mir-27a,hsa-mir-346,hsa-mir-503,hsa-mir-142,hsa-mir-501,hsa-mir-10b,hsa-mir-200a,hsa-mir-200b,hsa-mir-9,hsa-mir-30a,hsa-mir-574,hsa-mir-339,hsa-mir-100,hsa-mir-25,hsa-mir-138,hsa-mir-217,hsa-mir-335,hsa-mir-96,hsa-mir-671,hsa-mir-1262,hsa-mir-616,hsa-mir-455,hsa-mir-937,hsa-mir-383,hsa-mir-99b,hsa-mir-424
0.6421,0.01488,0.22235,0.00515,0.63497,0.17828,0.01416,0.11012,0.63208,0.12694,0.27828,0.33896,0.85047,0.18761,0.05579,0.00927,0.02457,0.16414,0.22254,0.24463,0.32899,0.42767,0.44135,0.66913,0.59026,0.63088,0.25248,0.02,0.43514,0.0098,0.12663,0.17627,0.71978,0.39175,0.26413,0.11233,0.69026,0.76811,0.30938,0.03926,0.55186,0.17108,0.11784,0.15129,0.07292,0.13609,0.15733,0.50267,0.39542,0.45181
0.22434,0.75313,0.17172,0.04353,0.68154,0.34152,0.01887,0.03281,0.71343,0.45571,0.43074,0.18528,0.64516,0.19359,0.03704,0.10078,0.07889,0.36246,0.62404,0.07612,0.66817,0.81317,0.06692,0.04024,0.64298,0.03284,0.08404,0.4541,0.10143,0.39199,0.09013,0.10631,0.82259,0.47926,0.24426,0.14488,0.54493,0.36632,0.4835,0.04532,0.70533,0.1674,0.02966,0.0597,0.01361,0.1005,0.03415,0.23047,0.22398,0.34668
0.34135,0.36205,0.32021,0.03148,0.95551,0.3476,0.07807,0.09216,0.66346,0.53307,0.36584,0.50686,0.74201,0.18903,0.06598,0.01978,0.07435,0.05224,0.37194,0.31472,0.43255,0.38216,0.41721,0.09106,0.73817,0.14797,0.29158,0.05372,0.45756,0.01839,0.04714,0.0592,0.74094,0.42186,0.45526,0.24403,0.69026,0.97433,0.34891,0.02069,0.35082,0.20499,0.10717,0.1421,0.02021,0.20682,0.05575,0.36666,0.50065,0.43668
0.32856,0.09437,0.33348,0.019,0.86151,0.59181,0.12543,0.04357,0.46141,0.27586,0.34985,0.27043,0.76204,0.02058,0.01923,0.00631,0.06647,0.05149,0.35427,0.03927,0.27438,0.74899,0.25953,0.32729,0.67694,0.02306,0.49535,0.56534,0.06533,0.68561,0.01188,0.0476,0.83839,0.31043,0.12876,0.10054,0.53355,0.66623,0.25555,0.30137,0.90573,0.27334,0.05215,0.04655,0.00254,0.06547,0.13032,0.00735,0.05429,0.78038
0.35583,0.00344,0.05244,0.01071,0.77977,0.00788,0.02584,0.05033,0.61399,0.25076,0.39434,0.41311,0.57889,0.06283,0.12277,0.3828,0.41312,0.05759,0.16468,0.09337,0.70535,0.08793,0.07553,0.54173,0.3835,0.49355,0.23424,0.00618,0.35244,0.45598,0,0.20186,0.68763,0.37636,0.63239,0.1427,0.61489,0.78014,0.04934,0.03023,0.77132,0.137,0.03756,0.02206,1,0.00113,0.06247,0,0.086,0.60826
0.26672,0.18591,0.23267,0.00552,0.51863,0.01729,0.05287,0.64894,0.42045,0.15199,0,0.06298,0.11491,0.03591,0.01699,0.2356,0.13061,0.10685,0.17128,0.08477,0.20151,0.24561,0.28468,0.88224,0.18406,0.94494,0.19628,0.0382,0.01037,0.00177,0.02427,0.7611,0.59584,0.00966,0.45181,0.00547,0.34856,0.4684,0.04391,0.01854,0.28046,0.08087,0.00779,0.39692,0.04645,0.02267,0.09044,0.05763,0.03561,0
0.62005,0.2213,0.54579,0.00852,1,0.0998,0.10339,0.28755,0.47972,0.54115,0.2375,0.77531,0.8425,0.29529,0.06527,0.02485,0.28248,0.04474,0.48167,0.40505,0.36302,0.27283,0.66265,0.1245,0.61182,0.1644,0.47084,0.06406,0.71649,0.4194,0.00281,0.08385,0.75222,0.44094,0.55306,0.24992,0.7263,0.95469,0.26334,0.04137,0.27777,0.02276,0.0517,0.22759,0.02483,0.15886,0.09613,0.34198,0.48617,0.41284
0.04008,0.50601,0.07396,0.15644,0.45809,0.0436,0.33876,0.0105,0.31403,0,0.00266,0,0.56665,0.16767,0.18401,0.05618,0.05386,0.08126,0.02191,0.04324,0.94231,0,0.36558,0.58008,0.45681,0.68272,0.16312,0.16083,0.00303,0.01428,0.15217,0.0774,0.77711,0.00114,0.51709,0.14913,0.11413,0.76811,0.09034,0.08019,0.38889,0.01108,0.19832,0.05864,0.00658,0.02474,0.0537,0.04269,0.26888,0.01196
0.14316,0.30163,0.01305,0.00521,0.79432,0.40408,0.41126,0.29643,0.57619,0.19275,0.06364,0.54458,0.46309,0.08199,0.05602,0.69829,0.34055,0.04711,0.38987,0.27853,0.74246,0.31593,0.62402,0.73068,0.61961,0.48181,0.13535,0.07161,0.07527,0.0031,0.01502,0.23346,0.63889,0.34061,0.51322,0.05488,0.4214,0.83981,0.09741,0.02406,0.35691,0.02364,0.02536,0.01526,0.02863,0.31415,0.12957,0.08685,0.09009,0.42634
0.54222,0.15544,0.20816,0.03105,0.72013,0.38645,0.41126,0.10201,0.28423,0.43104,0.26665,0.97486,0.66567,1,0.08475,0.07991,0.89766,0.03121,0.19707,0.17146,0.30423,0.10091,0.41721,0,0.66721,0.12118,0.15059,0.00837,0.58465,0.0445,0.04467,0.20829,0.66678,0.32379,0.49822,1,0.62306,0.97433,0.04721,0.00527,0.13823,0.60471,0.08348,0.1397,0.04509,0.20988,0.10355,0.01875,0.66384,0.11772
